run_id,seed,pair,variant,host_event_count,mediation_invocations,interruption_count,effect_count,final_output,native_elapsed_us,oram_accesses,dummy_fraction,structural_signature
s0-p18-v0-b0,0,18,B0-NATURAL,3,1,0,1,completed,2025.6,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p18-v0-b1,0,18,B0-NATURAL,6,2,1,1,completed,3222.6,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p19-v0-b0,0,19,B0-NATURAL,3,1,0,1,completed,2023.6,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p19-v0-b1,0,19,B0-NATURAL,6,2,1,1,completed,3279.5,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p0-v1-b0,0,0,B1-PER-ACTION-OBLIVIOUS,4,1,0,1,completed,2017.6,3,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p0-v1-b1,0,0,B1-PER-ACTION-OBLIVIOUS,7,2,1,1,completed,3407.4,6,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p1-v1-b0,0,1,B1-PER-ACTION-OBLIVIOUS,4,1,0,1,completed,2186.6,3,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p1-v1-b1,0,1,B1-PER-ACTION-OBLIVIOUS,7,2,1,1,completed,3200.6,6,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p2-v1-b0,0,2,B1-PER-ACTION-OBLIVIOUS,4,1,0,1,completed,2009.1,3,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p2-v1-b1,0,2,B1-PER-ACTION-OBLIVIOUS,7,2,1,1,completed,3181.4,6,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p3-v1-b0,0,3,B1-PER-ACTION-OBLIVIOUS,4,1,0,1,completed,1994.2,3,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p3-v1-b1,0,3,B1-PER-ACTION-OBLIVIOUS,7,2,1,1,completed,3146.4,6,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[2,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
s0-p4-v1-b0,0,4,B1-PER-ACTION-OBLIVIOUS,4,1,0,1,completed,1971.5,3,0.0,"[[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""PRIVATE_STATE_ORAM"",""ORAM_ACCESS"",451,444],[1,""MESSAGE_TOOL"",""PUBLIC_EFFECT"",451,444]]"
