scenario,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,0.5,0.0,0.5,0.500536806602983,0.010988154310050714
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,0.3333333333333333,0.0,0.5,0.4781554750859293,0.022115041551827815
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,0.5,0.0,0.5,0.5047256025239422,0.010012431577487236
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,0.5,0.0,0.5,0.5296875,0.0034020690871988464
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,0.3333333333333333,0.0,0.5,0.3461447263120749,0.0014722109420454252
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,0.5,0.0,0.5,0.5,0.0
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,0.5,0.0,0.5,0.4954475308641975,0.007452548070490812
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,0.3333333333333333,0.0,0.5,0.4816591121776564,0.0038924410725373207
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,0.5,0.0,0.5,0.49862107034712394,0.009769946566559305
PROVENANCE,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.0,0.5,0.5017153097798259,0.0013727050903772824
PROVENANCE,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.0,0.5,0.49436827923747784,0.004537663344107675
PROVENANCE,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.0,0.5,0.5030876195812943,0.0035172914811306224
PROVENANCE,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.0,0.5,0.5067708333333334,0.004500514373894383
PROVENANCE,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.0,0.5,0.47873662936425737,0.011590618191772886
PROVENANCE,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
PROVENANCE,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.0,0.5,0.5111753034547152,0.004273007958311074
PROVENANCE,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.0,0.5,0.5026337790496312,0.007561382414279506
PROVENANCE,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.0,0.5,0.5194573434814628,0.011747313702441545
PROVENANCE,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.0,0.5,0.5017153097798259,0.0013727050903772824
PROVENANCE,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.0,0.5,0.49436827923747784,0.004537663344107675
PROVENANCE,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.0,0.5,0.5030876195812943,0.0035172914811306224
PROVENANCE,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.0,0.5,0.5067708333333334,0.004500514373894383
PROVENANCE,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.0,0.5,0.47873662936425737,0.011590618191772886
