seed,scenario,variant,feature_level,split,metric,value,chance,permutation
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.503040933625234
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.508395166172324
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.5026041666666666
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.46441194437274524
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.47608024691358025
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.4736748435325828
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.4863107744769393
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.5098379629629629
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.5046371634823335
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.508395166172324
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5026041666666666
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.46441194437274524
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.47530864197530864
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.47346287347394755
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.4928952050592334
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.4982638888888889
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.4887060802057494
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.5205774724798491
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.49322916666666666
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.49100201175068725
0,EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.49703322271598793
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,0.5,0.5,0.5030864197530864
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,0.3333333333333333,0.5,0.4816514468972266
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,0.5,0.5,0.5093743962006265
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,0.5,0.5,0.5017361111111112
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,0.3333333333333333,0.5,0.47918239889161374
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,0.5,0.5,0.5092731169381006
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,0.5,0.5,0.5296875
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,0.3333333333333333,0.5,0.3461563304415489
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,0.5,0.5,0.5
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,0.3888888888888889,0.5,0.5131172839506173
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,0.3886792452830189,0.5,0.5100094534624154
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,0.4204389574759945,0.5,0.5271578697287314
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,0.5555555555555556,0.5,0.5034722222222222
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,0.55,0.5,0.48845835231300044
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,0.6277006172839507,0.5,0.5244740630679191
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,0.575,0.5,0.5026041666666666
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,0.5615731785944552,0.5,0.5009761771682127
0,EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,0.57,0.5,0.5060970583290982
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.5036764705882353
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.49554796509139853
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.5207576669236943
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.49042792792792794
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.48631961867775886
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.4965552307605399
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5109375
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.49512751863199383
1,AUTHORIZATION,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5067362979649901
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.5036764705882353
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.49554796509139853
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.5207576669236943
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.49042792792792794
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.48631961867775886
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.4965552307605399
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.5109375
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.49512751863199383
1,AUTHORIZATION,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.5067362979649901
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.5061274509803921
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.5017210144534746
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.5217836694299599
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.49211711711711714
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.48962247248464497
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.4991287601723046
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5109375
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.49512751863199383
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5067362979649901
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.5171568627450981
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.5139534706434913
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.5324205133673895
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.5045045045045045
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,1.0,0.5,0.49904005434780896
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,1.0,0.5,0.5079415722521898
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,1.0,0.5,0.5078125
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,1.0,0.5,0.5067519694886371
1,AUTHORIZATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,1.0,0.5,0.5056487484029206
1,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,0.5,0.5,0.5049019607843137
1,AUTHORIZATION,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,0.3333333333333333,0.5,0.5009084012889895
