data_record_bytes,permission_record_bytes,history_record_bytes,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
512,256,64,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,432.0,432.0,1769472.0,66977792,15852,3072,18924,0,6,6,108.0,14.194444444444445,2126.769230769231,packed-pages:1321,packed:4096,8 partitions:8
512,256,64,HYBRID-P,pass,3,3,320,17.25,70656,35649280,49152,3072,314368,0.3333333333333333,3,2,54,7.555067274305555,84.92307692307692,data:8192;hist:4096,data:512;hist:64,data:13;hist:12
512,256,64,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,3072,560128,0.5,1,1,18,7.110677083333333,68.92307692307692,data:8192,data:512,data:13
512,256,64,SCAN-PERMISSION,pass,3,3,320,81.25,332800,35911424,49152,3072,52224,0.25,3,3,54,7.610622829861111,400.0,data:8192;hist:4096;perm-scan:1024,data:512;hist:64;perm:256,data:13;hist:12;perm:scan
512,256,64,SCAN-HISTORY,pass,2,2,200,147.5,604160,35910656,36864,3072,39936,0.3333333333333333,2,3,36,7.610460069444445,726.1538461538462,data:8192;perm:1024;hist-scan:4096,data:512;perm:256;hist:64,data:13;perm:10;hist:scan
512,256,64,SCAN-BOTH,pass,1,1,112,206.0,843776,34076672,32768,3072,35840,0.3333333333333333,1,3,18,7.221788194444445,1014.1538461538462,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:256;hist:64,data:13;perm:scan;hist:scan
512,256,256,MODULAR-ORAM,leak,3,3,300.0,22.25,91136.0,44036096,53248,3072,56320,0,3,3,54,7.9992559523809526,89.0,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:256,data:13;perm:10;hist:12
512,256,256,NAIVE-FIXED,pass,4,4,408,32.5,133120,44036096,53248,3072,56576,0.25,4,3,72,7.9992559523809526,130.0,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:256,data:13;perm:10;hist:12
512,256,256,CANONICAL-MODULAR,pass,4,4,408,32.5,133120,44036096,53248,3072,56576,0.25,4,3,72,7.9992559523809526,130.0,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:256,data:13;perm:10;hist:12
512,256,256,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,12.190104166666666,180.0,unified:13312,unified:512,unified:14
512,256,256,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,6056,3072,9128,0,3,3,54.0,12.1875,1152.0,packed-pages:1514,packed:4096,unified-packed:11
512,256,256,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,432.0,432.0,1769472.0,66977792,18168,3072,21240,0,6,6,108.0,12.166666666666666,1728.0,packed-pages:1514,packed:4096,8 partitions:8
512,256,256,HYBRID-P,pass,3,3,320,27.0,110592,41939968,49152,3072,314368,0.3333333333333333,3,2,54,7.618489583333333,108.0,data:8192;hist:4096,data:512;hist:256,data:13;hist:12
512,256,256,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,3072,1346560,0.5,1,1,18,6.094866071428571,56.0,data:8192,data:512,data:13
512,256,256,SCAN-PERMISSION,pass,3,3,320,91.0,372736,42202112,49152,3072,52224,0.25,3,3,54,7.666108630952381,364.0,data:8192;hist:4096;perm-scan:1024,data:512;hist:256;perm:256,data:13;hist:12;perm:scan
