history_records,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
16384,SCAN-BOTH,pass,1,1,112,2192.0,8978432,272744448,32768,24576,57344,0.3333333333333333,1,3,18,7.200259515570934,2004.1142857142856,data:8192;perm-scan:1024;hist-scan:16384,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
65536,MODULAR-ORAM,leak,3,3,348.0,71.5,292864.0,403683840,299008,24576,323584,0,3,3,54,7.999644886363637,65.37142857142857,data:8192;perm:1024;hist:65536,data:4096;perm:128;hist:256,data:13;perm:10;hist:16
65536,NAIVE-FIXED,pass,4,4,472,131.75,539648,403683840,299008,24576,323840,0.25,4,3,72,7.999644886363637,120.45714285714286,data:8192;perm:1024;hist:65536,data:4096;perm:128;hist:256,data:13;perm:10;hist:16
65536,CANONICAL-MODULAR,pass,4,4,472,131.75,539648,403683840,299008,24576,323840,0.25,4,3,72,7.999644886363637,120.45714285714286,data:8192;perm:1024;hist:65536,data:4096;perm:128;hist:256,data:13;perm:10;hist:16
65536,UNIFIED-FIXED,pass,3,3,432,432.0,1769472,4294950912,299008,24576,323584,0,3,3,54,85.11136363636363,394.9714285714286,unified:74752,unified:4096,unified:17
65536,UNIFIED-PACKED,pass,3.0,3.0,360.0,360.0,1474560.0,536854528,50396,24576,74972,0,3,3,54.0,10.638636363636364,329.14285714285717,packed-pages:12599,packed:4096,unified-packed:14
65536,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,576.0,576.0,2359296.0,536739840,151188,24576,175764,0,6,6,108.0,10.636363636363637,526.6285714285714,packed-pages:12599,packed:4096,8 partitions:11
65536,HYBRID-P,pass,3,3,384,129.0,528384,402635776,294912,24576,450560,0.3333333333333333,3,2,54,7.978875811688312,117.94285714285714,data:8192;hist:65536,data:4096;hist:256,data:13;hist:16
65536,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,16965632,0.5,1,1,18,5.319155844155844,102.4,data:8192,data:4096,data:13
65536,SCAN-PERMISSION,pass,3,3,384,161.0,659456,402766848,294912,24576,319488,0.25,3,3,54,7.981473214285714,147.2,data:8192;hist:65536;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:16;perm:scan
65536,SCAN-HISTORY,pass,2,2,200,8306.75,34024448,286244352,36864,24576,61440,0.3333333333333333,2,3,36,5.672392451298701,7594.742857142857,data:8192;perm:1024;hist-scan:65536,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
65536,SCAN-BOTH,pass,1,1,112,8336.0,34144256,285327360,32768,24576,57344,0.3333333333333333,1,3,18,5.654220779220779,7621.4857142857145,data:8192;perm-scan:1024;hist-scan:65536,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
