seed,dataset,architecture,feature,split,metric,value,permutation
0,matched,V2-UNIFIED-PAD,F3,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F3,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F4,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F4,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F4,grouped_recipient,accuracy,0.49427168576104746,0.45990180032733224
0,matched,V2-UNIFIED-PAD,F4,grouped_recipient,roc_auc,0.5,0.45990180032733224
0,matched,V2-UNIFIED-PAD,F5,random,accuracy,0.5,0.5319444444444444
0,matched,V2-UNIFIED-PAD,F5,random,roc_auc,0.47495273007910477,0.5319444444444444
0,natural,V2-UNIFIED-PAD,F0,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F0,random,roc_auc,0.5,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F1,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F1,random,roc_auc,0.5,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F2,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F2,random,roc_auc,0.5,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F3,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F3,random,roc_auc,0.5,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F4,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F4,random,roc_auc,0.5,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F5,random,accuracy,0.8458333333333333,0.8722222222222222
0,natural,V2-UNIFIED-PAD,F5,random,roc_auc,0.5140238760928416,0.8722222222222222
0,natural_balanced,V2-UNIFIED-PAD,F0,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F0,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F1,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F1,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F2,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F2,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F3,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F3,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F4,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F4,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,V2-UNIFIED-PAD,F5,random,accuracy,0.49166666666666664,0.4666666666666667
0,natural_balanced,V2-UNIFIED-PAD,F5,random,roc_auc,0.48055926357456463,0.4666666666666667
1,matched,MODULAR-V2,F0,random,accuracy,0.4986111111111111,0.4791666666666667
1,matched,MODULAR-V2,F0,random,roc_auc,0.5,0.4791666666666667
1,matched,MODULAR-V2,F1,random,accuracy,0.4986111111111111,0.4791666666666667
1,matched,MODULAR-V2,F1,random,roc_auc,0.5,0.4791666666666667
1,matched,MODULAR-V2,F2,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2,F2,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2,F3,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2,F3,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2,F4,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2,F4,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2,F4,grouped_recipient,accuracy,1.0,0.46296296296296297
1,matched,MODULAR-V2,F4,grouped_recipient,roc_auc,1.0,0.46296296296296297
1,matched,MODULAR-V2,F5,random,accuracy,1.0,0.48194444444444445
1,matched,MODULAR-V2,F5,random,roc_auc,1.0,0.48194444444444445
1,natural,MODULAR-V2,F0,random,accuracy,1.0,0.8666666666666667
