runtime,family,variant,feature_set,model,seed,accuracy,auc,permutation_auc,chance,train_tasks,test_tasks
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,TIMING,LogisticRegression,0,1.0,1.0,0.49537037037037035,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,TIMING,RandomForest,0,1.0,1.0,0.4838348765432099,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,TIMING,LogisticRegression,1,1.0,1.0,0.5027006172839507,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,TIMING,RandomForest,1,1.0,1.0,0.487962962962963,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,TIMING,LogisticRegression,2,1.0,1.0,0.5175925925925926,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,TIMING,RandomForest,2,1.0,1.0,0.5327546296296296,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_SIZE,LogisticRegression,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_SIZE,LogisticRegression,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_SIZE,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_SIZE,LogisticRegression,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_TIMING,LogisticRegression,0,1.0,1.0,0.49544753086419757,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_TIMING,RandomForest,0,1.0,1.0,0.49128086419753086,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_TIMING,LogisticRegression,1,1.0,1.0,0.4994598765432098,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL_TIMING,RandomForest,1,1.0,1.0,0.4844907407407407,0.5,28,12
