sample_id,executor_code,event_count,request_bytes,response_bytes,wall_ns,cpu_ns,python_peak_bytes,rss_delta_bytes,thread_delta
419,1,1,1024,1024,18020500,0,17097,0,0
420,1,1,1024,1024,48209400,15625000,17194,0,0
421,1,1,1024,1024,18385500,0,17097,0,0
422,1,1,1024,1024,16607200,0,17097,0,0
423,1,1,1024,1024,22044800,31250000,17194,0,0
424,1,1,1024,1024,24215500,15625000,17194,0,0
425,1,1,1024,1024,21980400,0,16913,0,0
426,1,1,1024,1024,3048300,0,16969,0,0
427,1,1,1024,1024,43994100,15625000,17066,0,0
428,1,1,1024,1024,1710000,0,16969,0,0
429,1,1,1024,1024,14758800,0,16969,0,0
430,1,1,1024,1024,16749300,0,16969,0,0
431,1,1,1024,1024,22863300,15625000,17066,0,0
432,1,1,1024,1024,11302200,0,16969,0,0
433,1,1,1024,1024,15219100,0,16969,0,0
434,1,1,1024,1024,14745400,0,16969,0,0
435,1,1,1024,1024,34121000,15625000,17066,0,0
436,1,1,1024,1024,1500600,0,16969,0,0
437,1,1,1024,1024,32218400,31250000,17066,0,0
438,1,1,1024,1024,24329900,31250000,17066,0,0
439,1,1,1024,1024,1750600,0,16969,0,0
440,1,1,1024,1024,1565500,0,16969,0,0
441,1,1,1024,1024,18574800,0,16969,0,0
442,1,1,1024,1024,15249500,0,16969,0,0
443,1,1,1024,1024,15865400,0,16969,0,0
444,1,1,1024,1024,15904600,0,16969,0,0
445,1,1,1024,1024,23059500,0,16969,0,0
446,1,1,1024,1024,1645000,0,16969,0,0
447,1,1,1024,1024,2830200,0,16969,0,0
448,1,1,1024,1024,26386700,31250000,17066,0,0
449,1,1,1024,1024,23046100,15625000,17066,0,0
450,1,1,1024,1024,12353100,0,16969,0,0
451,1,1,1024,1024,15747000,0,16969,0,0
452,1,1,1024,1024,15510500,0,16969,0,0
453,1,1,1024,1024,1745900,0,16969,0,0
454,1,1,1024,1024,1427600,0,16969,0,0
455,1,1,1024,1024,42751800,31250000,17066,0,0
456,1,1,1024,1024,15661100,0,16969,0,0
457,1,1,1024,1024,1811200,0,16969,0,0
