system,distribution,variant,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
GAAP-derived,natural,CANONICAL-MODULAR,F3,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F4,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F4,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F4,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F5,random,accuracy,0.6722222222222223,0.010206207261596585,0.5,0.6837962962962962,0.013718085546323184
GAAP-derived,natural,CANONICAL-MODULAR,F5,random,macro_f1,0.4251006651991688,0.009962096683219476,0.5,0.6837962962962962,0.013718085546323184
GAAP-derived,natural,CANONICAL-MODULAR,F5,random,roc_auc,0.47265153204435734,0.008734796755858665,0.5,0.6837962962962962,0.013718085546323184
GAAP-derived,natural,MODULAR-ORAM,F0,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F0,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F0,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F1,random,accuracy,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F1,random,macro_f1,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F1,random,roc_auc,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F2,random,accuracy,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F2,random,macro_f1,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F2,random,roc_auc,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F3,random,accuracy,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F3,random,macro_f1,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F3,random,roc_auc,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F4,random,accuracy,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F4,random,macro_f1,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F4,random,roc_auc,1.0,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,MODULAR-ORAM,F5,random,accuracy,1.0,0.0,0.5,0.6805555555555556,0.010817890227359196
GAAP-derived,natural,MODULAR-ORAM,F5,random,macro_f1,1.0,0.0,0.5,0.6805555555555556,0.010817890227359196
GAAP-derived,natural,MODULAR-ORAM,F5,random,roc_auc,1.0,0.0,0.5,0.6805555555555556,0.010817890227359196
GAAP-derived,natural,UNIFIED-ORAM,F0,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F0,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F0,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F1,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F1,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F1,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F2,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F2,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F2,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F3,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F3,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F3,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F4,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F4,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F4,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM,F5,random,accuracy,0.6902777777777778,0.010079417156054293,0.5,0.7,0.010393492741038738
GAAP-derived,natural,UNIFIED-ORAM,F5,random,macro_f1,0.4112477772449832,0.004657970607715336,0.5,0.7,0.010393492741038738
GAAP-derived,natural,UNIFIED-ORAM,F5,random,roc_auc,0.5025752599853675,0.016419655141539907,0.5,0.7,0.010393492741038738
GAAP-derived,natural,UNIFIED-ORAM-PAD,F0,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F0,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F0,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F1,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F1,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F1,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
