seed,episode_id,variant,matches_original,authorized,effect_count,attempts
0,72,ORIGINAL-MEDIATOR,True,True,1,1
0,72,PER-SERVICE-ORAM,True,True,1,1
0,72,UNIFIED-OBLIVIOUS,True,True,1,1
0,72,FIXED-CANONICAL,True,True,1,1
0,72,TRUSTED-LOCAL,True,True,1,1
0,73,ORIGINAL-MEDIATOR,True,False,0,2
0,73,PER-SERVICE-ORAM,True,False,0,2
0,73,UNIFIED-OBLIVIOUS,True,False,0,2
0,73,FIXED-CANONICAL,True,False,0,2
0,73,TRUSTED-LOCAL,True,False,0,2
0,74,ORIGINAL-MEDIATOR,True,True,1,1
0,74,PER-SERVICE-ORAM,True,True,1,1
0,74,UNIFIED-OBLIVIOUS,True,True,1,1
0,74,FIXED-CANONICAL,True,True,1,1
0,74,TRUSTED-LOCAL,True,True,1,1
0,75,ORIGINAL-MEDIATOR,True,True,1,1
0,75,PER-SERVICE-ORAM,True,True,1,1
0,75,UNIFIED-OBLIVIOUS,True,True,1,1
0,75,FIXED-CANONICAL,True,True,1,1
0,75,TRUSTED-LOCAL,True,True,1,1
0,76,ORIGINAL-MEDIATOR,True,False,0,1
0,76,PER-SERVICE-ORAM,True,False,0,1
0,76,UNIFIED-OBLIVIOUS,True,False,0,1
0,76,FIXED-CANONICAL,True,False,0,1
0,76,TRUSTED-LOCAL,True,False,0,1
0,77,ORIGINAL-MEDIATOR,True,True,1,1
0,77,PER-SERVICE-ORAM,True,True,1,1
0,77,UNIFIED-OBLIVIOUS,True,True,1,1
0,77,FIXED-CANONICAL,True,True,1,1
0,77,TRUSTED-LOCAL,True,True,1,1
0,78,ORIGINAL-MEDIATOR,True,False,0,2
0,78,PER-SERVICE-ORAM,True,False,0,2
0,78,UNIFIED-OBLIVIOUS,True,False,0,2
0,78,FIXED-CANONICAL,True,False,0,2
0,78,TRUSTED-LOCAL,True,False,0,2
0,79,ORIGINAL-MEDIATOR,True,False,0,1
0,79,PER-SERVICE-ORAM,True,False,0,1
0,79,UNIFIED-OBLIVIOUS,True,False,0,1
0,79,FIXED-CANONICAL,True,False,0,1
0,79,TRUSTED-LOCAL,True,False,0,1
0,80,ORIGINAL-MEDIATOR,True,True,1,1
0,80,PER-SERVICE-ORAM,True,True,1,1
0,80,UNIFIED-OBLIVIOUS,True,True,1,1
0,80,FIXED-CANONICAL,True,True,1,1
0,80,TRUSTED-LOCAL,True,True,1,1
0,81,ORIGINAL-MEDIATOR,True,True,1,1
0,81,PER-SERVICE-ORAM,True,True,1,1
0,81,UNIFIED-OBLIVIOUS,True,True,1,1
0,81,FIXED-CANONICAL,True,True,1,1
0,81,TRUSTED-LOCAL,True,True,1,1
0,82,ORIGINAL-MEDIATOR,True,True,1,1
0,82,PER-SERVICE-ORAM,True,True,1,1
0,82,UNIFIED-OBLIVIOUS,True,True,1,1
0,82,FIXED-CANONICAL,True,True,1,1
0,82,TRUSTED-LOCAL,True,True,1,1
0,83,ORIGINAL-MEDIATOR,True,False,0,2
0,83,PER-SERVICE-ORAM,True,False,0,2
0,83,UNIFIED-OBLIVIOUS,True,False,0,2
0,83,FIXED-CANONICAL,True,False,0,2
0,83,TRUSTED-LOCAL,True,False,0,2
0,84,ORIGINAL-MEDIATOR,True,True,1,1
0,84,PER-SERVICE-ORAM,True,True,1,1
0,84,UNIFIED-OBLIVIOUS,True,True,1,1
0,84,FIXED-CANONICAL,True,True,1,1
0,84,TRUSTED-LOCAL,True,True,1,1
0,85,ORIGINAL-MEDIATOR,True,True,1,1
0,85,PER-SERVICE-ORAM,True,True,1,1
0,85,UNIFIED-OBLIVIOUS,True,True,1,1
0,85,FIXED-CANONICAL,True,True,1,1
0,85,TRUSTED-LOCAL,True,True,1,1
0,86,ORIGINAL-MEDIATOR,True,True,1,1
0,86,PER-SERVICE-ORAM,True,True,1,1
0,86,UNIFIED-OBLIVIOUS,True,True,1,1
0,86,FIXED-CANONICAL,True,True,1,1
0,86,TRUSTED-LOCAL,True,True,1,1
0,87,ORIGINAL-MEDIATOR,True,False,0,1
0,87,PER-SERVICE-ORAM,True,False,0,1
0,87,UNIFIED-OBLIVIOUS,True,False,0,1
0,87,FIXED-CANONICAL,True,False,0,1
0,87,TRUSTED-LOCAL,True,False,0,1
0,88,ORIGINAL-MEDIATOR,True,False,0,1
0,88,PER-SERVICE-ORAM,True,False,0,1
0,88,UNIFIED-OBLIVIOUS,True,False,0,1
0,88,FIXED-CANONICAL,True,False,0,1
0,88,TRUSTED-LOCAL,True,False,0,1
