seed,analysis,secret,variant,feature_level,split,metric,value,chance,permutation
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,grouped_entity,macro_f1,1.0,0.5,0.46552948800408844
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,grouped_entity,roc_auc,1.0,0.5,0.506538026891075
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,cross_policy,accuracy,1.0,0.5,0.5660714285714286
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,cross_policy,macro_f1,1.0,0.5,0.48108221386292566
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,cross_policy,roc_auc,1.0,0.5,0.5014168653557021
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,grouped_entity,accuracy,0.47368421052631576,0.5,0.4539473684210526
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,grouped_entity,macro_f1,0.32142857142857145,0.5,0.4308047809651007
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,grouped_entity,roc_auc,0.31666666666666665,0.5,0.4688956442862693
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_policy,accuracy,0.43333333333333335,0.5,0.484375
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_policy,macro_f1,0.41714285714285715,0.5,0.4374048491901323
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_policy,roc_auc,0.43333333333333335,0.5,0.48287601114432094
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_task,accuracy,0.5185185185185185,0.5,0.4872685185185185
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_task,macro_f1,0.34146341463414637,0.5,0.32613101959743546
0,mediation_only,requires_history,FIXED-CANONICAL,SYMBOLIC,cross_task,roc_auc,0.5,0.5,0.5
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,grouped_entity,accuracy,0.42105263157894735,0.5,0.4720394736842105
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,grouped_entity,macro_f1,0.39420289855072466,0.5,0.43612323614998943
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,grouped_entity,roc_auc,0.5333333333333333,0.5,0.4878530323842824
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_policy,accuracy,0.43333333333333335,0.5,0.48125
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_policy,macro_f1,0.41714285714285715,0.5,0.4237525329672222
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_policy,roc_auc,0.45111111111111113,0.5,0.5022757294627457
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_task,accuracy,0.5185185185185185,0.5,0.5104166666666666
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_task,macro_f1,0.4935064935064935,0.5,0.48141508185621396
0,mediation_only,requires_history,FIXED-CANONICAL,FULL,cross_task,roc_auc,0.5769230769230769,0.5,0.5206286274262684
0,full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5369718309859155
0,full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.4933737129169743
0,full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5144722950970435
0,full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5300595238095238
0,full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.49034276015250067
