admitted_real_agent_accesses,agent_access_bytes,agent_loader_failures,dummy_heavy_agent_executions,dummy_heavy_llm_executions,dummy_heavy_tool_executions,dummy_pir_queries,dummy_psi_queries,first_agent_retrieval_latency_ms,framework,framework_agent_as_tool_invocations,framework_model_invocations,gateway_bytes,gateway_public_sessions,gateway_relay_cells,overflow_count,profile_capacity_failures,profile_conformance,public_profile_instances,public_session_wall_ms,real_agent_executions,real_external_tool_api_calls,real_pir_queries,real_psi_queries,real_remote_llm_calls,repetition,retrieval_count,retrieval_failures,retrieval_latencies_ms_json,run_id,scheduled_agent_access_slots,semantic_applicable,semantic_success,silent_loss_count,source_campaign,task_latency_ms,total_agent_resolution_latency_ms,total_public_bytes,workload
0,9405600,0,0,0,0,4,4,,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7033.329191,0,0,0,0,0,4,0,0,[],V15C-042-OPENAI-IDLE_PROFILE_ONLY-R4,4,False,,0,V15D_P0_CORE,1150.627496,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,446.158837,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7042.101125,1,0,1,1,0,4,1,0,[446.158837],V15C-043-MICROSOFT-PROVISIONED_ORDINARY-R4,4,True,True,0,V15D_P0_CORE,1145.615096,446.158837,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7273.886961,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7273.886961,1,0,0,1,0,4,1,0,[7273.886961],V15C-044-MICROSOFT-UNPROVISIONED_ORDINARY-R4,4,True,True,0,V15D_P0_CORE,7277.39761,7273.886961,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,460.379624,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7037.415281,2,0,2,2,0,4,2,0,"[460.379624, 695.631943]",V15C-045-MICROSOFT-NESTED_AGENT_AS_TOOL-R4,4,True,True,0,V15D_P0_CORE,1157.98755,1156.011567,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,436.012403,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7066.216792,3,0,3,3,0,4,3,0,"[436.012403, 788.484847, 1165.856758]",V15C-046-MICROSOFT-REPEATED_AGENT-R4,4,True,True,0,V15D_P0_CORE,1169.425467,2390.354008,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7047.495787,0,0,0,0,0,4,0,0,[],V15C-048-MICROSOFT-IDLE_PROFILE_ONLY-R4,4,False,,0,V15D_P0_CORE,1158.476334,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,458.000743,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7056.969065,1,0,1,1,0,5,1,0,[458.000743],V15C-049-OPENAI-PROVISIONED_ORDINARY-R5,4,True,True,0,V15D_P0_CORE,1177.971819,458.000743,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7303.694005,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7303.694005,1,0,0,1,0,5,1,0,[7303.694005],V15C-050-OPENAI-UNPROVISIONED_ORDINARY-R5,4,True,True,0,V15D_P0_CORE,7309.39832,7303.694005,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,462.424954,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7059.394892,2,0,2,2,0,5,2,0,"[462.424954, 713.609739]",V15C-051-OPENAI-NESTED_AGENT_AS_TOOL-R5,4,True,True,0,V15D_P0_CORE,1183.331558,1176.034693,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,443.564978,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7021.707725,3,0,3,3,0,5,3,0,"[443.564978, 832.83571, 1153.436026]",V15C-052-OPENAI-REPEATED_AGENT-R5,4,True,True,0,V15D_P0_CORE,1159.310707,2429.836714,10384559,REPEATED_AGENT
