runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_TO_SEND,RandomForest,0.6239149305555556,0.5134928385416666,0.7757107204861111,0.5103515625,0.0392156862745098,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_TO_SEND,RandomForest,0.697265625,0.464453125,0.8769042968749999,0.488203125,0.0392156862745098,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,SEND_TO_RECEIVE,LogisticRegression,0.48871527777777773,0.40143229166666666,0.5981662326388889,0.4990972222222222,0.6078431372549019,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,SEND_TO_RECEIVE,LogisticRegression,0.48828125,0.29775390625,0.7916015624999999,0.44625,0.39215686274509803,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,SEND_TO_RECEIVE,RandomForest,0.4756944444444444,0.38938802083333335,0.5841525607638889,0.5028776041666667,0.7254901960784313,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,SEND_TO_RECEIVE,RandomForest,0.375,0.20185546875,0.623583984375,0.4786328125,0.803921568627451,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_ARRIVAL,LogisticRegression,0.49175347222222227,0.3775173611111111,0.5894097222222223,0.5019357638888889,0.5882352941176471,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_ARRIVAL,LogisticRegression,0.37890625,0.2435546875,0.56767578125,0.5278125,0.9215686274509803,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_ARRIVAL,RandomForest,0.4166666666666667,0.30514322916666664,0.5314561631944444,0.49142795138888895,0.8823529411764706,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_ARRIVAL,RandomForest,0.376953125,0.198828125,0.6461914062499999,0.476875,0.6862745098039216,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_PROCESS,LogisticRegression,0.6098090277777777,0.5161349826388888,0.7229926215277777,0.50703125,0.0784313725490196,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_PROCESS,LogisticRegression,0.49609375,0.31953125,0.7775390624999998,0.458359375,0.39215686274509803,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_PROCESS,RandomForest,0.6234809027777778,0.5756944444444444,0.6972113715277778,0.5162065972222222,0.058823529411764705,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RECEIVER_PROCESS,RandomForest,0.5078125,0.308203125,0.7421386718749999,0.4719921875,0.35294117647058826,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,COMMIT_TIME,LogisticRegression,0.5206163194444444,0.4708767361111111,0.5590440538194444,0.5038715277777777,0.29411764705882354,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,COMMIT_TIME,LogisticRegression,0.794921875,0.610498046875,0.90966796875,0.537890625,0.0392156862745098,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,COMMIT_TIME,RandomForest,0.4889322916666667,0.38602430555555556,0.6056803385416666,0.49882812500000007,0.6078431372549019,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,COMMIT_TIME,RandomForest,0.373046875,0.202734375,0.60849609375,0.4853125,0.8823529411764706,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,LogisticRegression,0.4442274305555556,0.32719184027777776,0.6109103732638888,0.4868836805555555,0.7058823529411765,96,16,GROUPED_TASK_4FOLD
