framework,pinned_commit,relative_path,bytes,parse_error,agent_constructors,workflow_instances,tool_instances,handoff_edges,conditional_edges,loops,fanout_fanin,agents_as_tools,dynamic_instructions,guardrails,state_memory,hitl_resume,middleware,mcp_tool_invocation,nested_subagent_patterns
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio/server.py,2305,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio/twilio_handler.py,11289,,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio_sip/__init__.py,43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio_sip/agents.py,3361,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio_sip/server.py,8015,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/__init__.py,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/gpt_oss_stream.py,1474,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/main.py,4968,,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/runner_example.py,3410,,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/__init__.py,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/__init__.py,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/planner_agent.py,846,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/search_agent.py,708,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/writer_agent.py,1207,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/main.py,361,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/manager.py,4914,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/printer.py,1320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/run_examples.py,29027,,0,0,0,0,6,3,8,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/__init__.py,73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/basic.py,8668,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/__init__.py,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/docker_runner.py,6952,,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/__init__.py,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/azure_mount_read_write.py,1472,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/gcs_mount_read_write.py,1850,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/mount_smoke.py,4732,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/s3_mount_read_write.py,1438,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docs/__init__.py,59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docs/coding_task.py,9383,,0,0,0,0,11,4,4,0,0,0,1,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/__init__.py,63,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/blaxel_runner.py,15732,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/cloudflare_runner.py,15832,,0,0,0,0,9,0,0,0,0,0,1,4,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/__init__.py,42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/daytona_runner.py,7116,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/usaspending_text2sql/__init__.py,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/usaspending_text2sql/agent.py,19164,,0,0,0,0,11,1,4,0,0,0,12,1,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/usaspending_text2sql/setup_db.py,26411,,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/usaspending_text2sql/sql_capability.py,6272,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/e2b_runner.py,9144,,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/modal_runner.py,15077,,0,0,0,0,8,0,0,0,0,0,1,6,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/runloop/__init__.py,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/runloop/capabilities.py,36151,,2,0,5,0,14,1,1,0,0,0,13,7,0,3,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/runloop/runner.py,5811,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/temporal/_worker_setup.py,1230,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/temporal/local_hello_workflow.py,5593,,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/temporal/temporal_sandbox_agent.py,25999,,0,0,0,0,10,5,2,0,0,0,5,0,0,0,0
